Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
FRGI,"Fiesta Restaurant Group, Inc.","Fiesta Restaurant Group, Inc. - Common Stock",Q,N,N,100
FRME,First Merchants Corporation,First Merchants Corporation - Common Stock,Q,N,N,100
FRP,"FairPoint Communications, Inc.","FairPoint Communications, Inc. - Common Stock",S,N,N,100
FRPH,"FRP Holdings, Inc.","FRP Holdings, Inc. - Common Stock",Q,N,N,100
FRPHV,"FRP Holdings, Inc.","FRP Holdings, Inc. - Common Stock Ex-Distribution When Issued",Q,N,N,100
FRPT,"Freshpet, Inc.","Freshpet, Inc. - Common Stock",G,N,N,100
FRSH,"Papa Murphy's Holdings, Inc.","Papa Murphy's Holdings, Inc. - Common Stock",Q,N,N,100
FSAM,Fifth Street Asset Management Inc.,Fifth Street Asset Management Inc. - Class A Common Stock,Q,N,N,100
FSBK,First South Bancorp Inc,First South Bancorp Inc - Common Stock,Q,N,N,100
FSBW,"FS Bancorp, Inc.","FS Bancorp, Inc. - Common Stock",S,N,N,100
FSC,Fifth Street Finance Corp.,Fifth Street Finance Corp. - Common Stock,Q,N,N,100
FSCFL,Fifth Street Finance Corp.,Fifth Street Finance Corp. - 6.125% senior notes due 2028,Q,N,N,100
FSFG,"First Savings Financial Group, Inc.","First Savings Financial Group, Inc. - Common Stock",S,N,N,100
FSFR,Fifth Street Senior Floating Rate Corp.,Fifth Street Senior Floating Rate Corp. - Common Stock,Q,N,N,100
FSGI,"First Security Group, Inc.","First Security Group, Inc. - Common Stock",S,N,N,100
FSLR,"First Solar, Inc.","First Solar, Inc. - Common Stock",Q,N,N,100
FSNN,"Fusion Telecommunications International, Inc.","Fusion Telecommunications International, Inc. - Common Stock",S,N,N,100
FSRV,FirstService Corporation,FirstService Corporation - Subordinate Voting Shares,Q,N,N,100
FSTR,L.B. Foster Company,L.B. Foster Company - Common Stock,Q,N,N,100
FSYS,"Fuel Systems Solutions, Inc.","Fuel Systems Solutions, Inc. - Common Stock",Q,N,N,100
FTCS,First Trust Capital Strength ETF,First Trust Capital Strength ETF,G,N,N,100
FTD,"FTD Companies, Inc.","FTD Companies, Inc. - Common Stock",Q,N,N,100
FTEK,"Fuel Tech, Inc.","Fuel Tech, Inc. - Common Stock",Q,N,N,100
